circuit,rank,bitstring,count,probability
original,1,11011111,5601,0.6837158203125
original,2,11010111,407,0.0496826171875
original,3,11011101,361,0.0440673828125
original,4,11011011,266,0.032470703125
original,5,01011111,170,0.020751953125
transpiled_nassc,1,11011111,846,0.103271484375
transpiled_nassc,2,11011101,257,0.0313720703125
transpiled_nassc,3,11010111,212,0.02587890625
transpiled_nassc,4,11011011,175,0.0213623046875
transpiled_nassc,5,11111111,148,0.01806640625
transpiled_qiskit,1,11011111,748,0.09130859375
transpiled_qiskit,2,11010111,210,0.025634765625
transpiled_qiskit,3,11011101,160,0.01953125
transpiled_qiskit,4,11011011,151,0.0184326171875
transpiled_qiskit,5,11011110,141,0.0172119140625
transpiled_sabre,1,11011111,1159,0.1414794921875
transpiled_sabre,2,11011101,258,0.031494140625
transpiled_sabre,3,11011011,232,0.0283203125
transpiled_sabre,4,11011110,188,0.02294921875
transpiled_sabre,5,11010111,185,0.0225830078125
